# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#        sza               vza              vaa              theta              I_dw              Q_dw              U_dw                dI_dw            dQ_dw             dU_dw              Polar. (%)
      60.000000000     146.000000000       0.000000000      65.000000000       0.037107534      -0.001859090       0.000000000       0.000000000       0.000000000       0.000000000       5.010007288
      60.000000000     146.000000000      90.000000000     106.665768674       0.025417685       0.012560857      -0.009176455       0.000000000       0.000000000       0.000000000      61.200634925
      60.000000000     146.000000000     180.000000000     175.000000000       0.021892283      -0.017074342      -0.000000000       0.000000000       0.000000000       0.000000000      77.992512433
      60.000000000     147.000000000       0.000000000      64.000000000       0.036472282      -0.002135678       0.000000000       0.000000000       0.000000000       0.000000000       5.855619873
      60.000000000     147.000000000      90.000000000     106.236121171       0.025208585       0.012470502      -0.008855426       0.000000000       0.000000000       0.000000000      60.673120760
      60.000000000     147.000000000     180.000000000     176.000000000       0.021618712      -0.016989248      -0.000000000       0.000000000       0.000000000       0.000000000      78.585847835
      60.000000000     148.000000000       0.000000000      63.000000000       0.035851003      -0.002413962       0.000000000       0.000000000       0.000000000       0.000000000       6.733316709
      60.000000000     148.000000000      90.000000000     105.802338394       0.025008902       0.012384368      -0.008539610       0.000000000       0.000000000       0.000000000      60.151334736
      60.000000000     148.000000000     180.000000000     177.000000000       0.021367003      -0.016897961      -0.000000000       0.000000000       0.000000000       0.000000000      79.084376688
      60.000000000     149.000000000       0.000000000      62.000000000       0.035243352      -0.002693743       0.000000000       0.000000000       0.000000000       0.000000000       7.643265491
