#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.974713330E+00     0.183718587E+00     0.518152084E-01     0.380801884E-01     0.345400410E-01
    -0.974461861E+00     0.183235090E+00     0.515803758E-01     0.377333261E-01     0.344515254E-01
    -0.974209164E+00     0.182757950E+00     0.513481454E-01     0.373876858E-01     0.343669072E-01
    -0.973955239E+00     0.182287173E+00     0.511187249E-01     0.370430737E-01     0.342864938E-01
    -0.973700087E+00     0.181822847E+00     0.508923681E-01     0.366993181E-01     0.342106133E-01
    -0.973443708E+00     0.181365130E+00     0.506693635E-01     0.363562770E-01     0.341396005E-01
    -0.973186102E+00     0.180914240E+00     0.504500237E-01     0.360138459E-01     0.340737831E-01
    -0.972927270E+00     0.180470449E+00     0.502346732E-01     0.356719627E-01     0.340134679E-01
    -0.972667211E+00     0.180034066E+00     0.500236375E-01     0.353306135E-01     0.339589280E-01
    -0.972405927E+00     0.179605429E+00     0.498172323E-01     0.349898357E-01     0.339103909E-01
    -0.972143418E+00     0.179184882E+00     0.496157533E-01     0.346497201E-01     0.338680282E-01
    -0.971879683E+00     0.178772770E+00     0.494194687E-01     0.343104112E-01     0.338319475E-01
    -0.971614723E+00     0.178369420E+00     0.492286112E-01     0.339721061E-01     0.338021863E-01
    -0.971348539E+00     0.177975132E+00     0.490433736E-01     0.336350518E-01     0.337787083E-01
    -0.971081131E+00     0.177590163E+00     0.488639050E-01     0.332995409E-01     0.337614023E-01
    -0.970812499E+00     0.177214721E+00     0.486903089E-01     0.329659055E-01     0.337500830E-01
    -0.970542644E+00     0.176848956E+00     0.485226435E-01     0.326345108E-01     0.337444948E-01
    -0.970271565E+00     0.176492952E+00     0.483609226E-01     0.323057463E-01     0.337443171E-01
    -0.969999264E+00     0.176146728E+00     0.482051184E-01     0.319800174E-01     0.337491719E-01
    -0.969725741E+00     0.175810230E+00     0.480551650E-01     0.316577353E-01     0.337586325E-01
    -0.969450995E+00     0.175483339E+00     0.479109620E-01     0.313393071E-01     0.337722337E-01
    -0.969175027E+00     0.175165863E+00     0.477723793E-01     0.310251259E-01     0.337894829E-01
    -0.968897838E+00     0.174857553E+00     0.476392618E-01     0.307155604E-01     0.338098712E-01
    -0.968619429E+00     0.174558097E+00     0.475114331E-01     0.304109459E-01     0.338328856E-01
    -0.968339798E+00     0.174267136E+00     0.473886998E-01     0.301115753E-01     0.338580197E-01
    -0.968058947E+00     0.173984264E+00     0.472708552E-01     0.298176914E-01     0.338847854E-01
    -0.967776876E+00     0.173709044E+00     0.471576820E-01     0.295294808E-01     0.339127225E-01
    -0.967493586E+00     0.173441015E+00     0.470489547E-01     0.292470688E-01     0.339414086E-01
    -0.967209076E+00     0.173179700E+00     0.469444419E-01     0.289705162E-01     0.339704671E-01
    -0.966923347E+00     0.172924618E+00     0.468439075E-01     0.286998182E-01     0.339995739E-01
    -0.966636400E+00     0.172675298E+00     0.467471122E-01     0.284349042E-01     0.340284636E-01
    -0.966348235E+00     0.172431281E+00     0.466538142E-01     0.281756405E-01     0.340569331E-01
    -0.966058852E+00     0.172192140E+00     0.465637703E-01     0.279218344E-01     0.340848446E-01
    -0.965768251E+00     0.171957479E+00     0.464767365E-01     0.276732395E-01     0.341121264E-01
    -0.965476433E+00     0.171726947E+00     0.463924692E-01     0.274295634E-01     0.341387729E-01
    -0.965183399E+00     0.171500244E+00     0.463107257E-01     0.271904759E-01     0.341648418E-01
    -0.964889148E+00     0.171277121E+00     0.462312656E-01     0.269556186E-01     0.341904514E-01
    -0.964593681E+00     0.171057393E+00     0.461538519E-01     0.267246149E-01     0.342157754E-01
    -0.964296999E+00     0.170840930E+00     0.460782521E-01     0.264970808E-01     0.342410366E-01
    -0.963999101E+00     0.170627664E+00     0.460042396E-01     0.262726351E-01     0.342664993E-01
